lat,lon,date,temperature,salinity,dissolved_oxygen,depth,current_velocity,shear_stress,chlorophyll_a,turbidity,slope,roughness,substrate_hardness,sediment_type,benthic_communities,biotope,fishing_intensity,ph,alkalinity
50.267,-4.1398,2024-09-03,7.4,35.1,9.3,49.9,0.14,0.15,1.3,5.5,6.6,1.01,0.28,fine_sand,none_recorded,fine_sand_biotope,TRUE,8.11,2289
50.2704,-4.1515,2024-09-03,7.8,35.4,8.6,41.9,0.07,0.1,2.1,3.5,10.9,1.04,0.38,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.06,2298
50.2762,-4.1409,2024-09-03,8.1,35.3,9.3,41.9,0.08,0.08,1.4,3.1,4.5,1.04,0.38,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.08,2249
50.2781,-4.1153,2024-09-03,7.3,35.7,8.8,41.9,0.07,0.11,2.2,5.4,6.2,1.06,0.41,muddy_sand,polychaete_dominated,fine_sand_biotope,FALSE,8.01,2247
50.2784,-4.1102,2024-09-03,7.6,35.5,8.6,41.9,0.06,0.07,1.9,2.4,21.2,1.03,0.35,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.04,2296
50.281,-4.1458,2024-09-03,8.7,35.1,9.4,34.9,0.01,-0.06,1.4,6.8,9.9,1.06,0.48,medium_sand,sparse,sandy_gravel,FALSE,8.09,2255
50.2843,-4.1415,2024-09-03,8.7,35.7,9.0,34.9,0.08,0.08,2.4,5.1,14.8,1.07,0.52,medium_sand,sparse,sandy_gravel,FALSE,8.05,2298
50.2949,-4.1201,2024-09-03,8.0,35.0,8.6,34.9,0.09,0.11,1.1,6.3,14.6,1.08,0.51,medium_sand,sparse,sandy_gravel,FALSE,8.07,2289
50.2956,-4.1506,2024-09-03,9.3,34.3,8.4,27.9,0.13,0.19,1.9,5.7,14.1,1.15,0.63,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.04,2260
50.2969,-4.1545,2024-09-03,8.8,35.6,8.8,27.9,0.14,0.17,2.5,7.9,8.8,1.1,0.59,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.1,2283
50.3006,-4.1675,2024-09-03,7.8,36.1,8.7,27.9,0.1,0.14,1.7,6.2,6.5,1.12,0.62,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.11,2290
50.3061,-4.1577,2024-09-03,8.2,34.9,8.8,27.9,0.12,0.19,1.9,7.1,11.9,1.17,0.62,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.08,2285
50.3065,-4.142,2024-09-03,8.4,35.8,8.5,27.9,0.09,0.12,1.8,8.6,11.9,1.14,0.63,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.08,2281
50.3085,-4.1483,2024-09-03,8.3,35.6,8.7,27.9,0.23,0.34,1.4,6.7,12.9,1.14,0.58,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.07,2298
50.309,-4.1357,2024-09-03,7.8,34.5,8.7,27.9,0.13,0.15,1.8,7.5,19.1,1.18,0.65,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.1,2234
50.3096,-4.1024,2024-09-03,8.2,34.4,9.0,21.9,0.16,0.18,1.7,5.6,2.5,1.15,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.11,2245
50.3101,-4.1598,2024-09-03,8.3,35.1,8.9,21.9,0.12,0.14,0.8,6.6,4.7,1.16,0.71,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.09,2269
50.3141,-4.1368,2024-09-03,9.2,35.2,8.8,21.9,0.25,0.31,1.9,7.7,2.5,1.14,0.68,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.13,2280
50.3149,-4.1632,2024-09-03,9.4,35.6,8.3,21.9,0.13,0.21,1.1,8.8,5.0,1.17,0.7,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.11,2259
50.318,-4.1639,2024-09-03,8.6,35.6,8.7,21.9,0.15,0.23,1.4,8.1,2.8,1.18,0.69,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.1,2288
50.3186,-4.119,2024-09-03,8.5,35.1,8.7,21.9,0.19,0.25,1.6,6.4,3.7,1.18,0.65,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.09,2269
50.3189,-4.1345,2024-09-03,8.7,34.9,8.7,15.9,0.23,0.27,1.1,8.3,4.7,1.09,0.74,shell_gravel,chlamys_opercularis,CGS,FALSE,8.08,2292
50.3212,-4.1075,2024-09-03,8.7,34.5,9.1,15.9,0.2,0.21,1.9,10.2,2.8,1.08,0.81,shell_gravel,chlamys_opercularis,CGS,FALSE,8.1,2260
50.3256,-4.1344,2024-09-03,8.2,35.4,9.1,15.9,0.19,0.25,1.3,8.6,5.6,1.17,0.79,shell_gravel,chlamys_opercularis,CGS,FALSE,8.08,2288
50.3258,-4.1042,2024-09-03,8.8,35.1,8.8,15.9,0.21,0.24,2.3,10.3,6.9,1.12,0.76,shell_gravel,chlamys_opercularis,CGS,FALSE,8.11,2301
50.3267,-4.1472,2024-09-03,8.4,34.6,9.0,15.9,0.21,0.21,1.5,9.5,3.7,1.11,0.73,shell_gravel,chlamys_opercularis,CGS,FALSE,8.12,2281
50.327,-4.1411,2024-09-03,8.1,35.7,8.5,15.9,0.18,0.23,1.5,8.5,5.6,1.12,0.75,shell_gravel,chlamys_opercularis,CGS,FALSE,8.12,2292
50.3272,-4.1308,2024-09-03,8.0,34.6,8.6,15.9,0.27,0.31,0.7,8.0,2.6,1.11,0.73,shell_gravel,chlamys_opercularis,CGS,FALSE,8.09,2242
50.3282,-4.1205,2024-09-03,9.4,35.0,8.7,15.9,0.2,0.3,0.9,10.1,4.9,1.14,0.74,shell_gravel,chlamys_opercularis,CGS,FALSE,8.11,2286
50.3295,-4.1277,2024-09-03,9.5,35.7,8.6,11.9,0.27,0.36,1.8,9.3,2.0,1.09,0.8,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.13,2290
50.3324,-4.1537,2024-09-03,9.0,35.6,9.0,11.9,0.13,0.16,2.0,11.0,1.6,1.09,0.79,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.08,2267
50.3348,-4.1156,2024-09-03,9.8,35.4,8.8,11.9,0.27,0.4,0.8,8.7,1.8,1.1,0.84,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.12,2265
50.3376,-4.1051,2024-09-03,9.0,35.2,8.9,11.9,0.19,0.28,2.0,10.3,3.9,1.13,0.8,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.11,2295
50.3453,-4.1589,2024-09-03,9.7,35.0,8.4,7.9,0.26,0.35,1.7,11.2,0.8,1.05,0.94,hard_rock,quiniadella_spisula,CGS,FALSE,8.09,2287
50.3479,-4.1135,2024-09-03,9.3,35.3,8.5,7.9,0.27,0.3,2.2,9.0,3.0,1.05,0.93,hard_rock,quiniadella_spisula,CGS,FALSE,8.07,2280
50.3488,-4.1691,2024-09-03,9.4,34.9,9.2,4.6,0.34,0.41,1.1,10.0,2.1,1.05,1.0,bedrock,quiniadella_spisula,CGS,FALSE,8.12,2285
50.2446,-4.1109,2025-02-14,9.6,35.0,8.7,67.9,0.01,0.03,NA,0.5,10.9,1.03,0.13,silt,none_recorded,muddy_biotope,FALSE,7.99,2291
50.266,-4.1315,2025-02-14,10.4,35.1,9.1,49.9,0.01,0.04,NA,3.9,7.5,1.03,0.21,fine_sand,none_recorded,fine_sand_biotope,TRUE,8.07,2291
50.2709,-4.1683,2025-02-14,10.7,34.6,9.2,41.9,0.1,0.12,NA,4.1,4.4,1.03,0.41,muddy_sand,polychaete_dominated,fine_sand_biotope,FALSE,8.08,2280
50.2802,-4.1112,2025-02-14,10.1,35.0,7.8,41.9,0.04,0.06,NA,5.0,12.0,1.04,0.38,muddy_sand,polychaete_dominated,fine_sand_biotope,TRUE,8.07,2261
50.2804,-4.1334,2025-02-14,11.0,35.5,9.0,34.9,0.07,0.07,NA,6.8,19.8,1.06,0.49,medium_sand,sparse,sandy_gravel,FALSE,8.13,2308
50.287,-4.1532,2025-02-14,10.5,34.9,8.8,34.9,0.14,0.16,NA,5.8,10.6,1.08,0.52,medium_sand,sparse,sandy_gravel,FALSE,8.15,2277
50.2891,-4.1667,2025-02-14,10.9,35.7,8.4,34.9,0.13,0.14,NA,5.1,14.2,1.1,0.48,medium_sand,sparse,sandy_gravel,FALSE,8.08,2284
50.2951,-4.1001,2025-02-14,10.3,34.5,8.8,34.9,0.11,0.12,NA,3.7,13.0,1.06,0.51,medium_sand,sparse,sandy_gravel,FALSE,8.07,2272
50.2971,-4.1232,2025-02-14,10.7,35.2,9.1,34.9,0.1,0.12,NA,4.6,11.2,1.09,0.5,medium_sand,sparse,sandy_gravel,FALSE,8.07,2309
50.2989,-4.1053,2025-02-14,10.6,34.9,8.5,27.9,0.13,0.16,NA,5.7,10.0,1.13,0.63,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.08,2282
50.3035,-4.1554,2025-02-14,11.2,35.6,8.1,27.9,0.09,0.17,NA,5.9,9.6,1.15,0.58,coarse_sand,mixed_bivalve,coarse_sand,FALSE,8.08,2281
50.3083,-4.149,2025-02-14,10.2,35.1,8.9,21.9,0.12,0.12,NA,6.6,3.1,1.18,0.7,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.12,2261
50.3089,-4.1397,2025-02-14,11.7,35.2,8.8,21.9,0.09,0.09,NA,8.4,2.5,1.2,0.68,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.11,2254
50.3175,-4.114,2025-02-14,10.8,35.8,8.9,21.9,0.21,0.24,NA,5.5,1.6,1.22,0.65,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.12,2314
50.3186,-4.1206,2025-02-14,11.0,35.1,8.4,21.9,0.2,0.21,NA,7.5,6.3,1.17,0.68,mixed_sediment,mixed_bivalve,mixed_coarse,FALSE,8.11,2285
50.3187,-4.1704,2025-02-14,11.5,35.7,8.4,15.9,0.24,0.27,NA,8.1,4.2,1.13,0.72,shell_gravel,chlamys_opercularis,CGS,FALSE,8.1,2285
50.3236,-4.1412,2025-02-14,11.0,35.3,8.3,15.9,0.23,0.28,NA,10.3,4.7,1.13,0.79,shell_gravel,chlamys_opercularis,CGS,FALSE,8.13,2282
50.3242,-4.1666,2025-02-14,11.6,35.5,9.3,15.9,0.21,0.31,NA,9.5,5.1,1.08,0.71,shell_gravel,chlamys_opercularis,CGS,FALSE,8.15,2293
50.3268,-4.1482,2025-02-14,11.0,35.2,8.8,15.9,0.16,0.23,NA,8.2,4.1,1.11,0.78,shell_gravel,chlamys_opercularis,CGS,FALSE,8.17,2264
50.3334,-4.1232,2025-02-14,11.1,35.2,8.5,11.9,0.34,0.47,NA,9.3,6.6,1.09,0.81,coarse_gravel,quiniadella_spisula,CGS,FALSE,8.19,2272
